source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,HLA-DMB,CD4,0.32626754,0.0,0.10638417,0.0958693163774158,0.4074483180053047,0.42286754,0.79407907,0.09177675237407291,0.6632339283290294
Source_Tumor_CSC,Target_PBMC_NK,APOE,SORL1,0.50022703,0.0,0.2502095,0.6083372402328763,1.1104515565578668,0.68805915,0.85536456,0.019163819413479357,0.6653673523566601
Source_Tumor_CSC,Target_PBMC_NK,S100A9,CD68,0.49783027,1.0,0.23126909,-0.3612902764461747,-2.386243724970541,0.07084286,0.8504269,1.0,0.6724027564823039
Source_Tumor_CSC,Target_PBMC_NK,GNAI2,CXCR3,0.5685741,1.0,0.14620942,-0.25197055378201394,-0.06721385861506751,0.30790275,0.81886584,1.0,0.6747530819230998
Source_Tumor_CSC,Target_PBMC_NK,HLA-DQB1,LAG3,0.43934125,0.0,0.108964376,0.177168350392862,0.6675050682654768,0.5481255,0.7960315,0.052840293692707256,0.6815804017882923
Source_Tumor_CSC,Target_PBMC_NK,MDK,SDC4,0.11439063,0.0,0.011319638,0.3709689969412737,0.25449751674483967,0.6056449,0.5571077,0.14353591919003406,0.6857525405668525
Source_Tumor_CSC,Target_PBMC_NK,A2M,LRP1,0.48923355,0.0,0.2362711,0.5457667522250005,1.1083405717567878,0.7134528,0.85178274,0.021439268392768163,0.6865441769549476
Source_Tumor_CSC,Target_PBMC_NK,APP,TNFRSF21,0.4257228,0.0,0.045797907,0.3816293719366725,0.7089764958750835,0.37481806,0.71672654,0.16219787568240054,0.6884040084474435
Source_Tumor_CSC,Target_PBMC_NK,MFNG,NOTCH1,0.10642551,1.0,0.011326389,-0.1374053684820207,-0.2729552342990306,0.11867764,0.55718124,1.0,0.6903965302269095
Source_Tumor_CSC,Target_PBMC_NK,CCL4,CCR1,0.25318787,1.0,0.04540082,-0.10163577239897298,-0.42078397937716294,0.27023673,0.71584165,1.0,0.6904776640557895
Source_Tumor_CSC,Target_PBMC_NK,HLA-DMA,CD4,0.48844707,0.0,0.20957018,0.1264520154373113,0.47031996434206597,0.42085147,0.8440521,0.07264076179444488,0.6912786950727814
Source_Tumor_CSC,Target_PBMC_NK,FN1,ITGA6,0.7339274,0.0,0.110606164,0.9239002229926214,1.6282321907289619,0.26165524,0.7972429,0.04066612147697959,0.6939976507350358
Source_Tumor_CSC,Target_PBMC_NK,YBX1,NOTCH1,0.73139733,1.0,0.14435722,-0.1484793146269461,-0.06880143922796783,0.18602616,0.8179184,1.0,0.6960234576955284
Source_Tumor_CSC,Target_PBMC_NK,VCAN,TLR2,0.34703857,1.0,0.110650316,-0.2843953486322399,-1.032859690511363,0.11691208,0.7972751,1.0,0.6960817083465624
