source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL6A1,ITGA3_ITGB1,0.07823365,1.0,0.0060628834,-0.10675657040277217,-0.27998253414821883,0.04660429,0.49253377,1.0,0.20781563773979922
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,BMP6,ACVR1_BMPR2,0.078332454,0.0,0.0061354525,0.24162519995139742,0.20237969441830342,0.2206353,0.49402076,0.04294062098635483,0.2186691963996547
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,FN1,ITGAV_ITGB1,0.79216975,1.0,0.27230746,-0.18955863969658238,-0.8717103666406019,0.05037345,0.866748,1.0,0.22427879890144775
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CALM1,PTPRA,0.75606,1.0,0.2681075,-0.1884540976060237,-0.02102176485404933,0.053306248,0.8658478,1.0,0.23067563492856002
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,JAG2,NOTCH2,0.079817176,1.0,0.0062514786,0.10200158185721417,-0.042847509874787804,0.1106146,0.4963623,1.0,0.23069568803088905
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MIF,CD74_CXCR4,0.9641096,1.0,0.26481995,-0.48508833951671504,-0.9928482616369814,0.009102352,0.8651296,1.0,0.2385974218938029
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMB2,CD44,0.86695373,0.0,0.2572807,0.28606969738742927,0.45555647623434786,0.14553615,0.86343575,0.022187833518621036,0.2529172527307456
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CALM1,KCNQ1,0.75152194,1.0,0.2562453,-0.06397680417218511,0.06955596377873005,0.085685275,0.86319774,1.0,0.25515140056217817
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMC1,CD44,0.8655132,0.0,0.25275722,0.3862496656489431,0.5248440422189422,0.19649522,0.86238647,0.02072009880313421,0.2622803773329652
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPP1,ITGA9_ITGB1,0.7273323,1.0,0.28400105,-0.35986170190660566,-0.7974888232935574,0.028984703,0.8691573,1.0,0.26360253198755684
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPP1,ITGA4_ITGB1,0.7273323,1.0,0.28400105,-0.35986170190660566,-0.7974888232935574,0.028984703,0.8691573,1.0,0.26360253198755684
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPP1,ITGAV_ITGB1,0.70924014,1.0,0.2397722,-0.14703718253570242,-0.5368042609254928,0.054063287,0.85922694,1.0,0.28924580567605346
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,DLL4,NOTCH2,0.08311292,1.0,0.006849589,0.346532993512252,-0.008117508026481396,0.13480008,0.5077829,1.0,0.2903083726821222
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TGS1,RXRA,0.084422395,1.0,0.0069717485,-0.16240244011595414,-0.13950466754447405,0.025770295,0.50999194,1.0,0.29740389071288403
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMB1,CD44,0.8595474,0.0,0.23402414,0.6235667755215805,0.600972992519083,0.3037704,0.85775316,0.01620932151717921,0.29953747892692273
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DRA,CD4,0.9846829,1.0,0.22912453,-0.40715883282894016,-0.9651163411755459,0.022839425,0.8564574,1.0,0.30876405119924966
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,GNAS,ADCY7,0.89013135,1.0,0.22181165,-0.15333930562058576,0.02311862970471046,0.059631225,0.85445195,1.0,0.3259048430492278
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMB2,RPSA,0.74971765,1.0,0.21885799,-0.08296058199587561,-0.08928264378957057,0.08670422,0.8536165,1.0,0.3337814638334747
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS1,ITGB1,0.668902,1.0,0.25684893,-0.5004158082297163,-0.4940197845989792,0.021435576,0.8633366,1.0,0.3429957629311945
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COPA,CD74,0.66781104,1.0,0.29011405,-0.7535223609848465,-2.038310792132159,0.016399471,0.8703636,1.0,0.3459485912633863
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,PSEN1,CD44,0.852244,0.0,0.211091,0.14790551812600528,0.3662937400542152,0.06946631,0.85134447,0.24677594296796343,0.35231001082817004
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ARPC5,ADRB2,0.65524375,0.0,0.40227652,0.49245994747000615,0.7878241397203943,0.16293247,0.887715,0.02072009880313421,0.3634450872358402
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HBEGF,CD82,0.6514734,0.0,0.2754424,0.7963487869041057,0.8034279882769957,0.14140357,0.86740756,0.026134195770299132,0.36906384037641826
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,GRN,SORT1,0.35979307,1.0,0.06425394,-0.3065349411268057,-0.37410216726934126,0.03632472,0.7595952,1.0,0.3757922112023422
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CALR,ITGA3,0.4142885,1.0,0.06374635,-0.28035947581763254,-0.37768803765859116,0.033280417,0.7588703,1.0,0.3802495181414918
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TXLNA,STX4,0.096439,1.0,0.007743394,-0.2318225090238305,-0.2643454506015697,0.020425051,0.5230985,1.0,0.3804288428805668
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,BMP6,BMPR1A_BMPR2,0.08910225,1.0,0.00783824,0.09937070699108388,0.026661787410657056,0.077859975,0.52461684,1.0,0.38736605186218553
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DQA2,CD4,0.31305504,1.0,0.06232734,-0.4444563699844454,-0.782256727428869,0.018251138,0.7568046,1.0,0.39481489466908537
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD55,ADGRE5,0.6264826,0.0,0.37565854,0.09394195283277247,0.36616502757258007,0.08282999,0.8842575,0.26569796709074145,0.4052762914790493
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,APP,NCSTN,0.43937695,0.797,0.067473784,-0.06730686868217836,0.04323061336852782,0.05474688,0.7640313,0.9115401251958384,0.4067312758847149
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CCN2,IGF2R,0.33915848,1.0,0.061390124,-0.16413701872189138,-0.19764105342200644,0.031824466,0.75540763,1.0,0.40740029121165267
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HMGB1,CXCR4,0.7027867,1.0,0.18703666,-0.5889552427636298,-1.2522614111315042,0.007920976,0.8435249,1.0,0.4289129583962844
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TGFB1,TGFBR1_TGFBR2,0.3289532,1.0,0.059222378,-0.32168629014765904,-0.3239657636713692,0.022479903,0.7520712,1.0,0.43058394287093704
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DOB,CD4,0.09479782,1.0,0.008123677,-0.10877868632803167,-0.3400841554215793,0.058548722,0.529075,1.0,0.4344428618989081
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,PTGS2,ALOX5,0.6896605,0.0,0.18569063,0.7435180965482112,1.0085909655386291,0.09154322,0.8430476,0.026809662345848674,0.4349016170528661
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD52,SIGLEC10,0.28965956,1.0,0.05887201,-0.05195662556976937,-0.00574485480593151,0.047925938,0.75151765,1.0,0.436864669208593
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,APOE,LRP4,0.31013274,1.0,0.058435634,0.33805890390949256,-0.5705924125378777,0.12590133,0.7508223,1.0,0.43932352272518643
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DRB1,CD4,0.8048556,1.0,0.18446484,-0.4582409404997603,-1.0730457818612176,0.020404901,0.842609,1.0,0.44045746033243427
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DPA1,CD4,0.79848,1.0,0.18288147,-0.43931136867711595,-1.0012352655062886,0.021281846,0.84203655,1.0,0.4446417224779903
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,PLTP,ABCA1,0.28746247,1.0,0.06323603,-0.2783615432317278,-0.6488105040662207,0.025130961,0.7581341,1.0,0.4471114884415667
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,APP,NOTCH2,0.4422435,0.999,0.072024405,-0.11157186086308307,-0.05034057288051336,0.04675937,0.76986384,1.0,0.45499095363710657
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ICAM1,SPN,0.33865413,0.004,0.07212248,0.04561454623651964,0.24040278008557636,0.072991565,0.76998436,0.4099282746143165,0.45571187982264405
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CCN1,ITGB2,0.2828119,1.0,0.06192767,-0.32494108473605154,-0.4280627310984104,0.025357323,0.7562122,1.0,0.4666165572300947
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD22,PTPRC,0.39546552,1.0,0.055843838,0.03527289800392566,-0.1534909705161506,0.045694444,0.74655443,1.0,0.47065800534704705
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HMGB1,HAVCR2,0.6975874,1.0,0.17396821,-0.2499556403726511,-0.14310405822937455,0.035733968,0.83868504,1.0,0.48056107765402256
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPP1,PTGER4,0.68117714,1.0,0.17116843,-0.2983904411758389,-0.8450363754975021,0.028143484,0.83758444,1.0,0.49163356380552886
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,KITLG,EPOR,0.103001416,0.0,0.008811189,0.3412396263717349,0.23714504705485284,0.30705303,0.53918225,0.028875137292797164,0.4978243003093844
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,NID1,ITGA3,0.094796374,0.851,0.008905858,0.24146419970494984,-0.06906996782304187,0.13043845,0.54050964,0.6002226909431151,0.5079122045180965
